TIPO DE RESÍDUO;jan/18;fev/18;mar/18;abr/18;mai/18;jun/18;jul/18;ago/18;set/18;out/18;nov/18;dez/18;TOTAL 2018
ALIM VENCIDOS;0;0;0;0;0;5,92;0;0;0;0;0;0;5,92
ANIMAIS;2,08;1,80;2,35;2,96;6,15;2,38;3,98;1,70;1,89;4,33;6,03;2,44;38,09
DIVERSOS;18644,22;18396,62;20431,31;21404,26;15655,92;17537,15;17925,85;18715,00;17496,35;18713,37;20262,06;17488,34;222670,45
DOMICILIAR;364262,97;290663,37;328072,44;300843,73;302710,48;288833,64;294044,59;301608,39;287203,53;327744,54;309063,10;334787,98;3729838,76
ENTULHO APREENDIDO;23,24;15,02;14,22;0;0;6,71;0;0;6,24;2,99;8,52;0;76,94
ENTULHO MANUAL;4851,41;4490,55;5098,62;4639,78;10407,79;4601,27;5175,38;5266,36;4388,46;4287,23;3674,33;3588,97;60470,15
ENTULHO MECANIZADO;41901,74;39529,16;42499,88;41291,14;38304,43;45147,82;41939,42;45051,74;36047,91;37632,21;22428,83;23304,96;455079,24
ESGOTO;19667,15;18039,83;18787,17;15991,13;16409,68;14546,36;16385,09;18508,85;17831,45;17657,96;18260,20;19807,23;211892,10
FEIRA LIVRE;6071,84;5577,81;6236,49;5436,69;4666,12;5437,57;5366,90;5680,90;6106,25;6398,65;6225,89;5945,88;69150,99
GG SAUDE;2722,67;2540,75;2956,08;2869,01;2911,62;2800,52;2805,82;2930,61;2717,92;2928,47;2727,79;2650,39;33561,65
PG SAUDE;642,52;616,52;730,04;710,65;717,14;725,12;693,63;800,33;697,43;801,58;723,36;711,01;8569,33
PODA;3122,83;2176,01;2320,57;2212,91;2736,98;3345,13;3087,89;3790,35;2996,64;3598,30;4092,61;4195,10;37675,32
REJEITO;0;0;0;0;0;0;0;0;0;0;0;0;0
REJEITO-CMT CMJ;1235,86;1025,96;1025,12;1069,42;815,55;918,96;926,39;899,52;826,87;1040,02;955,24;1103,64;11842,55
RESIDUOS DE BOCA DE LOBO;706,86;756,81;743,83;720,08;809,43;471,09;594,27;595,25;577,81;1133,66;883,76;935,94;8928,79
RESIDUOS DE CORREGOS;9525,26;6315,12;7077,64;6543,24;5709,84;7405,85;6870,84;6246,03;7224,38;9107,37;8739,84;7950,33;88715,74
RESIDUOS DE ECOPONTO;30341,43;31229,73;35159,40;32840,68;33690,45;30819,49;36618,21;38597,22;35352,46;37427,67;36072,51;35672,88;413822,13
RESIDUOS DE PISCINAO;13139,55;16060,13;13445,39;14625,67;14060,70;14869,85;13337,09;13647,67;12762,75;13075,80;17827,14;20267,52;177119,26
SELETIVA;7735,87;6281,70;6891,00;6485,27;4848,67;6183,86;6010,86;6279,49;5844,25;6673,95;6301,43;7370,23;76906,58
VARRICAO;7058,05;6837,29;7414,03;6562,55;6785,16;6467,50;6417,94;6825,77;6830,25;6737,53;6258,33;7304,16;81498,56
VARRICAO MECANIZADA;5,28;1,12;0;7,65;33,71;149,80;104,19;17,61;19,16;0;3,28;105,79;447,59
TOTAL;524597,50;486848,89;534651,55;500877,62;497681,95;486910,69;495068,21;511932,41;481426,59;531602,10;501657,64;529217,84;6082472,99
