TIPO DE RESIDUO,TONELADAS,MES,ANO
DOMICILIAR,317.183,jan,2020
ENTULHO MECANIZADO,11.783,jan,2020
RESIDUOS DE ECOPONTO,32.876,jan,2020
DIVERSOS,34.419,jan,2020
ESGOTO,16.05,jan,2020
RESIDUOS DE PISCINAO,12.983,jan,2020
RESIDUOS DE CORREGOS,17.766,jan,2020
VARRICAO,4.527,jan,2020
SELETIVA,8.425,jan,2020
FEIRA LIVRE,6.562,jan,2020
ENTULHO MANUAL,1.249,jan,2020
PODA,5.236,jan,2020
GG SAUDE,2.711,jan,2020
REJEITO-CMT CMJ,1.629,jan,2020
RESIDUOS DE BOCA DE LOBO,1.321,jan,2020
PG SAUDE,729.0,jan,2020
REMOCAO RESIDUOS DESCARTADOS,0.0,jan,2020
RESIDUOS PATIO COMPOSTAGEM,0.0,jan,2020
REJEITO,0.0,jan,2020
ENTULHO APREENDIDO,10.0,jan,2020
MADEIRA,2.868,jan,2020
ANIMAIS,2.0,jan,2020
VARRICAO MECANIZADA,452.0,jan,2020
ALIM VENCIDOS,0.0,jan,2020
MATERIAL APREENDIDO,0.0,jan,2020
RESIDUO DE ACUMULADOR,29.0,jan,2020
RESIDUO DE DESFAZIMENTO,0.0,jan,2020
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,jan,2020
RESIDUO ECOPONTO - ENTULHO,5.466,jan,2020
ENTULHO DO PREDIO,0.0,jan,2020
LIMPEZA URBANA,0.0,jan,2020
RESIDUOS DE ECOPONTO - DIVERSOS,0.0,jan,2020
DOMICILIAR,301.322,fev,2020
ENTULHO MECANIZADO,10.175,fev,2020
RESIDUOS DE ECOPONTO,34.225,fev,2020
DIVERSOS,34.304,fev,2020
ESGOTO,14.11,fev,2020
RESIDUOS DE PISCINAO,19.365,fev,2020
RESIDUOS DE CORREGOS,8.768,fev,2020
VARRICAO,6.423,fev,2020
SELETIVA,7.271,fev,2020
FEIRA LIVRE,7.013,fev,2020
ENTULHO MANUAL,1.539,fev,2020
PODA,5.139,fev,2020
GG SAUDE,2.589,fev,2020
REJEITO-CMT CMJ,1.39,fev,2020
RESIDUOS DE BOCA DE LOBO,1.574,fev,2020
PG SAUDE,691.0,fev,2020
REMOCAO RESIDUOS DESCARTADOS,0.0,fev,2020
RESIDUOS PATIO COMPOSTAGEM,0.0,fev,2020
REJEITO,0.0,fev,2020
ENTULHO APREENDIDO,8.0,fev,2020
MADEIRA,3.152,fev,2020
ANIMAIS,1.0,fev,2020
VARRICAO MECANIZADA,518.0,fev,2020
ALIM VENCIDOS,0.0,fev,2020
MATERIAL APREENDIDO,0.0,fev,2020
RESIDUO DE ACUMULADOR,1.0,fev,2020
RESIDUO DE DESFAZIMENTO,0.0,fev,2020
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,fev,2020
RESIDUO ECOPONTO - ENTULHO,1.056,fev,2020
ENTULHO DO PREDIO,0.0,fev,2020
LIMPEZA URBANA,0.0,fev,2020
RESIDUOS DE ECOPONTO - DIVERSOS,0.0,fev,2020
DOMICILIAR,317.174,mar,2020
ENTULHO MECANIZADO,12.628,mar,2020
RESIDUOS DE ECOPONTO,36.639,mar,2020
DIVERSOS,38.879,mar,2020
ESGOTO,18.095,mar,2020
RESIDUOS DE PISCINAO,17.045,mar,2020
RESIDUOS DE CORREGOS,19.418,mar,2020
VARRICAO,4.381,mar,2020
SELETIVA,8.039,mar,2020
FEIRA LIVRE,7.18,mar,2020
ENTULHO MANUAL,1.933,mar,2020
PODA,5.959,mar,2020
GG SAUDE,2.727,mar,2020
REJEITO-CMT CMJ,1.175,mar,2020
RESIDUOS DE BOCA DE LOBO,1.852,mar,2020
PG SAUDE,734.0,mar,2020
