TIPO DE RESIDUO,TONELADAS,MES,ANO
REMOCAO RESIDUOS DESCARTADOS,0.0,mar,2020
RESIDUOS PATIO COMPOSTAGEM,0.0,mar,2020
REJEITO,0.0,mar,2020
ENTULHO APREENDIDO,15.0,mar,2020
MADEIRA,2.939,mar,2020
ANIMAIS,3.0,mar,2020
VARRICAO MECANIZADA,350.0,mar,2020
ALIM VENCIDOS,0.0,mar,2020
MATERIAL APREENDIDO,0.0,mar,2020
RESIDUO DE ACUMULADOR,11.0,mar,2020
RESIDUO DE DESFAZIMENTO,0.0,mar,2020
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,1.0,mar,2020
RESIDUO ECOPONTO - ENTULHO,1.005,mar,2020
ENTULHO DO PREDIO,10.0,mar,2020
LIMPEZA URBANA,4.0,mar,2020
RESIDUOS DE ECOPONTO - DIVERSOS,0.0,mar,2020
DOMICILIAR,276.684,abr,2020
ENTULHO MECANIZADO,11.08,abr,2020
RESIDUOS DE ECOPONTO,29.838,abr,2020
DIVERSOS,34.545,abr,2020
ESGOTO,17.825,abr,2020
RESIDUOS DE PISCINAO,17.199,abr,2020
RESIDUOS DE CORREGOS,19.156,abr,2020
VARRICAO,3.663,abr,2020
SELETIVA,8.058,abr,2020
FEIRA LIVRE,6.2,abr,2020
ENTULHO MANUAL,1.682,abr,2020
PODA,5.32,abr,2020
GG SAUDE,2.488,abr,2020
REJEITO-CMT CMJ,1.662,abr,2020
RESIDUOS DE BOCA DE LOBO,1.289,abr,2020
PG SAUDE,540.0,abr,2020
REMOCAO RESIDUOS DESCARTADOS,0.0,abr,2020
RESIDUOS PATIO COMPOSTAGEM,0.0,abr,2020
REJEITO,0.0,abr,2020
ENTULHO APREENDIDO,,abr,2020
MADEIRA,1.871,abr,2020
ANIMAIS,3.0,abr,2020
VARRICAO MECANIZADA,413.0,abr,2020
ALIM VENCIDOS,0.0,abr,2020
MATERIAL APREENDIDO,0.0,abr,2020
RESIDUO DE ACUMULADOR,,abr,2020
RESIDUO DE DESFAZIMENTO,0.0,abr,2020
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,abr,2020
RESIDUO ECOPONTO - ENTULHO,2.829,abr,2020
ENTULHO DO PREDIO,0.0,abr,2020
LIMPEZA URBANA,0.0,abr,2020
RESIDUOS DE ECOPONTO - DIVERSOS,0.0,abr,2020
DOMICILIAR,276.721,mai,2020
ENTULHO MECANIZADO,10.858,mai,2020
RESIDUOS DE ECOPONTO,28.588,mai,2020
DIVERSOS,33.554,mai,2020
ESGOTO,19.127,mai,2020
RESIDUOS DE PISCINAO,16.207,mai,2020
RESIDUOS DE CORREGOS,17.993,mai,2020
VARRICAO,3.87,mai,2020
SELETIVA,7.459,mai,2020
FEIRA LIVRE,6.578,mai,2020
ENTULHO MANUAL,1.896,mai,2020
PODA,4.532,mai,2020
GG SAUDE,3.017,mai,2020
REJEITO-CMT CMJ,1.38,mai,2020
RESIDUOS DE BOCA DE LOBO,951.0,mai,2020
PG SAUDE,597.0,mai,2020
REMOCAO RESIDUOS DESCARTADOS,0.0,mai,2020
RESIDUOS PATIO COMPOSTAGEM,0.0,mai,2020
REJEITO,0.0,mai,2020
ENTULHO APREENDIDO,12.0,mai,2020
MADEIRA,2.302,mai,2020
ANIMAIS,2.0,mai,2020
VARRICAO MECANIZADA,377.0,mai,2020
ALIM VENCIDOS,0.0,mai,2020
MATERIAL APREENDIDO,0.0,mai,2020
RESIDUO DE ACUMULADOR,4.0,mai,2020
RESIDUO DE DESFAZIMENTO,0.0,mai,2020
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,mai,2020
RESIDUO ECOPONTO - ENTULHO,2.931,mai,2020
ENTULHO DO PREDIO,0.0,mai,2020
LIMPEZA URBANA,0.0,mai,2020
RESIDUOS DE ECOPONTO - DIVERSOS,0.0,mai,2020
DOMICILIAR,303.261,jun,2020
ENTULHO MECANIZADO,12.92,jun,2020
RESIDUOS DE ECOPONTO,29.419,jun,2020
DIVERSOS,35.958,jun,2020
ESGOTO,17.875,jun,2020
RESIDUOS DE PISCINAO,18.534,jun,2020
RESIDUOS DE CORREGOS,20.414,jun,2020
VARRICAO,4.85,jun,2020
SELETIVA,7.894,jun,2020
FEIRA LIVRE,7.144,jun,2020
ENTULHO MANUAL,2.323,jun,2020
PODA,5.679,jun,2020
GG SAUDE,3.292,jun,2020
REJEITO-CMT CMJ,1.719,jun,2020
RESIDUOS DE BOCA DE LOBO,1.195,jun,2020
PG SAUDE,710.0,jun,2020
REMOCAO RESIDUOS DESCARTADOS,0.0,jun,2020
RESIDUOS PATIO COMPOSTAGEM,0.0,jun,2020
REJEITO,0.0,jun,2020
ENTULHO APREENDIDO,0.0,jun,2020
MADEIRA,3.953,jun,2020
ANIMAIS,1.0,jun,2020
VARRICAO MECANIZADA,511.0,jun,2020
ALIM VENCIDOS,0.0,jun,2020
MATERIAL APREENDIDO,0.0,jun,2020
RESIDUO DE ACUMULADOR,2.0,jun,2020
RESIDUO DE DESFAZIMENTO,61.0,jun,2020
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,jun,2020
RESIDUO ECOPONTO - ENTULHO,9.486,jun,2020
ENTULHO DO PREDIO,0.0,jun,2020
LIMPEZA URBANA,7.0,jun,2020
RESIDUOS DE ECOPONTO - DIVERSOS,0.0,jun,2020
DOMICILIAR,303.903,jul,2020
ENTULHO MECANIZADO,12.996,jul,2020
RESIDUOS DE ECOPONTO,33.996,jul,2020
DIVERSOS,34.066,jul,2020
ESGOTO,22.443,jul,2020
RESIDUOS DE PISCINAO,20.49,jul,2020
RESIDUOS DE CORREGOS,19.061,jul,2020
VARRICAO,6.232,jul,2020
SELETIVA,7.986,jul,2020
FEIRA LIVRE,6.561,jul,2020
ENTULHO MANUAL,2.957,jul,2020
PODA,6.123,jul,2020
GG SAUDE,3.476,jul,2020
REJEITO-CMT CMJ,1.886,jul,2020
RESIDUOS DE BOCA DE LOBO,1.409,jul,2020
PG SAUDE,823.0,jul,2020
REMOCAO RESIDUOS DESCARTADOS,0.0,jul,2020
RESIDUOS PATIO COMPOSTAGEM,0.0,jul,2020
REJEITO,0.0,jul,2020
ENTULHO APREENDIDO,0.0,jul,2020
MADEIRA,4.745,jul,2020
ANIMAIS,1.0,jul,2020
VARRICAO MECANIZADA,460.0,jul,2020
ALIM VENCIDOS,0.0,jul,2020
MATERIAL APREENDIDO,0.0,jul,2020
RESIDUO DE ACUMULADOR,61.0,jul,2020
RESIDUO DE DESFAZIMENTO,47.0,jul,2020
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,jul,2020
RESIDUO ECOPONTO - ENTULHO,11.066,jul,2020
ENTULHO DO PREDIO,0.0,jul,2020
LIMPEZA URBANA,0.0,jul,2020
RESIDUOS DE ECOPONTO - DIVERSOS,0.0,jul,2020
DOMICILIAR,297.064,ago,2020
ENTULHO MECANIZADO,9.697,ago,2020
RESIDUOS DE ECOPONTO,29.855,ago,2020
DIVERSOS,27.748,ago,2020
ESGOTO,18.649,ago,2020
RESIDUOS DE PISCINAO,14.844,ago,2020
RESIDUOS DE CORREGOS,18.753,ago,2020
VARRICAO,6.37,ago,2020
SELETIVA,7.689,ago,2020
FEIRA LIVRE,5.951,ago,2020
ENTULHO MANUAL,2.699,ago,2020
PODA,5.126,ago,2020
GG SAUDE,3.395,ago,2020
REJEITO-CMT CMJ,1.525,ago,2020
RESIDUOS DE BOCA DE LOBO,1.407,ago,2020
PG SAUDE,803.0,ago,2020
REMOCAO RESIDUOS DESCARTADOS,0.0,ago,2020
RESIDUOS PATIO COMPOSTAGEM,0.0,ago,2020
REJEITO,0.0,ago,2020
ENTULHO APREENDIDO,0.0,ago,2020
MADEIRA,5.243,ago,2020
ANIMAIS,3.0,ago,2020
VARRICAO MECANIZADA,554.0,ago,2020
ALIM VENCIDOS,0.0,ago,2020
MATERIAL APREENDIDO,0.0,ago,2020
RESIDUO DE ACUMULADOR,52.0,ago,2020
RESIDUO DE DESFAZIMENTO,394.0,ago,2020
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,ago,2020
RESIDUO ECOPONTO - ENTULHO,10.261,ago,2020
ENTULHO DO PREDIO,0.0,ago,2020
LIMPEZA URBANA,0.0,ago,2020
RESIDUOS DE ECOPONTO - DIVERSOS,1.244,ago,2020
DOMICILIAR,300.749,set,2020
ENTULHO MECANIZADO,8.713,set,2020
RESIDUOS DE ECOPONTO,31.316,set,2020
DIVERSOS,28.413,set,2020
ESGOTO,23.443,set,2020
RESIDUOS DE PISCINAO,14.083,set,2020
RESIDUOS DE CORREGOS,22.086,set,2020
VARRICAO,7.762,set,2020
SELETIVA,7.811,set,2020
FEIRA LIVRE,5.645,set,2020
ENTULHO MANUAL,2.653,set,2020
PODA,5.078,set,2020
GG SAUDE,3.251,set,2020
REJEITO-CMT CMJ,1.688,set,2020
RESIDUOS DE BOCA DE LOBO,1.419,set,2020
PG SAUDE,824.0,set,2020
REMOCAO RESIDUOS DESCARTADOS,0.0,set,2020
RESIDUOS PATIO COMPOSTAGEM,0.0,set,2020
REJEITO,0.0,set,2020
ENTULHO APREENDIDO,0.0,set,2020
MADEIRA,5.137,set,2020
ANIMAIS,1.0,set,2020
VARRICAO MECANIZADA,442.0,set,2020
ALIM VENCIDOS,0.0,set,2020
MATERIAL APREENDIDO,0.0,set,2020
RESIDUO DE ACUMULADOR,65.0,set,2020
RESIDUO DE DESFAZIMENTO,40.0,set,2020
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,set,2020
RESIDUO ECOPONTO - ENTULHO,8.64,set,2020
ENTULHO DO PREDIO,0.0,set,2020
LIMPEZA URBANA,0.0,set,2020
RESIDUOS DE ECOPONTO - DIVERSOS,3.0,set,2020
DOMICILIAR,304.548,out,2020
ENTULHO MECANIZADO,9.254,out,2020
RESIDUOS DE ECOPONTO,31.237,out,2020
DIVERSOS,28.761,out,2020
ESGOTO,18.184,out,2020
RESIDUOS DE PISCINAO,15.415,out,2020
RESIDUOS DE CORREGOS,22.9,out,2020
VARRICAO,7.598,out,2020
SELETIVA,7.93,out,2020
FEIRA LIVRE,5.859,out,2020
ENTULHO MANUAL,3.029,out,2020
PODA,5.051,out,2020
GG SAUDE,3.308,out,2020
REJEITO-CMT CMJ,1.619,out,2020
RESIDUOS DE BOCA DE LOBO,1.218,out,2020
PG SAUDE,861.0,out,2020
REMOCAO RESIDUOS DESCARTADOS,0.0,out,2020
RESIDUOS PATIO COMPOSTAGEM,0.0,out,2020
REJEITO,0.0,out,2020
ENTULHO APREENDIDO,0.0,out,2020
MADEIRA,5.122,out,2020
ANIMAIS,1.0,out,2020
VARRICAO MECANIZADA,554.0,out,2020
ALIM VENCIDOS,0.0,out,2020
MATERIAL APREENDIDO,0.0,out,2020
RESIDUO DE ACUMULADOR,24.0,out,2020
RESIDUO DE DESFAZIMENTO,18.0,out,2020
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,out,2020
RESIDUO ECOPONTO - ENTULHO,9.572,out,2020
ENTULHO DO PREDIO,0.0,out,2020
LIMPEZA URBANA,0.0,out,2020
RESIDUOS DE ECOPONTO - DIVERSOS,196.0,out,2020
DOMICILIAR,288.071,nov,2020
ENTULHO MECANIZADO,7.883,nov,2020
RESIDUOS DE ECOPONTO,25.779,nov,2020
DIVERSOS,27.706,nov,2020
ESGOTO,12.851,nov,2020
RESIDUOS DE PISCINAO,13.485,nov,2020
RESIDUOS DE CORREGOS,32.003,nov,2020
VARRICAO,6.998,nov,2020
SELETIVA,7.283,nov,2020
FEIRA LIVRE,5.277,nov,2020
ENTULHO MANUAL,1.465,nov,2020
PODA,5.446,nov,2020
GG SAUDE,3.281,nov,2020
REJEITO-CMT CMJ,1.248,nov,2020
RESIDUOS DE BOCA DE LOBO,853.0,nov,2020
PG SAUDE,806.0,nov,2020
REMOCAO RESIDUOS DESCARTADOS,0.0,nov,2020
RESIDUOS PATIO COMPOSTAGEM,0.0,nov,2020
REJEITO,0.0,nov,2020
ENTULHO APREENDIDO,10.0,nov,2020
MADEIRA,5.404,nov,2020
ANIMAIS,2.0,nov,2020
VARRICAO MECANIZADA,529.0,nov,2020
ALIM VENCIDOS,0.0,nov,2020
MATERIAL APREENDIDO,353.0,nov,2020
RESIDUO DE ACUMULADOR,,nov,2020
RESIDUO DE DESFAZIMENTO,104.0,nov,2020
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,nov,2020
RESIDUO ECOPONTO - ENTULHO,10.718,nov,2020
ENTULHO DO PREDIO,0.0,nov,2020
LIMPEZA URBANA,0.0,nov,2020
RESIDUOS DE ECOPONTO - DIVERSOS,137.0,nov,2020
DOMICILIAR,332.637,dez,2020
ENTULHO MECANIZADO,7.443,dez,2020
RESIDUOS DE ECOPONTO,27.76,dez,2020
DIVERSOS,29.169,dez,2020
ESGOTO,14.864,dez,2020
RESIDUOS DE PISCINAO,13.779,dez,2020
RESIDUOS DE CORREGOS,38.609,dez,2020
VARRICAO,8.874,dez,2020
SELETIVA,8.62,dez,2020
FEIRA LIVRE,5.836,dez,2020
ENTULHO MANUAL,1.38,dez,2020
PODA,6.174,dez,2020
GG SAUDE,3.334,dez,2020
REJEITO-CMT CMJ,1.641,dez,2020
RESIDUOS DE BOCA DE LOBO,943.0,dez,2020
PG SAUDE,837.0,dez,2020
REMOCAO RESIDUOS DESCARTADOS,0.0,dez,2020
RESIDUOS PATIO COMPOSTAGEM,0.0,dez,2020
REJEITO,0.0,dez,2020
ENTULHO APREENDIDO,0.0,dez,2020
MADEIRA,6.389,dez,2020
ANIMAIS,2.0,dez,2020
VARRICAO MECANIZADA,493.0,dez,2020
ALIM VENCIDOS,0.0,dez,2020
MATERIAL APREENDIDO,322.0,dez,2020
RESIDUO DE ACUMULADOR,14.0,dez,2020
RESIDUO DE DESFAZIMENTO,17.0,dez,2020
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,dez,2020
RESIDUO ECOPONTO - ENTULHO,9.182,dez,2020
ENTULHO DO PREDIO,0.0,dez,2020
LIMPEZA URBANA,0.0,dez,2020
RESIDUOS DE ECOPONTO - DIVERSOS,120.0,dez,2020
