TIPO DE RESIDUO,TONELADAS,MES,ANO
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,fev,2019
DOMICILIAR,314.108,mar,2019
ENTULHO MECANIZADO,24.972,mar,2019
RESIDUOS DE ECOPONTO,38.227,mar,2019
DIVERSOS,19.584,mar,2019
ESGOTO,17.412,mar,2019
RESIDUOS DE PISCINAO,14.85,mar,2019
RESIDUOS DE CORREGOS,11.414,mar,2019
VARRICAO,7.951,mar,2019
SELETIVA,6.724,mar,2019
FEIRA LIVRE,5.548,mar,2019
ENTULHO MANUAL,3.782,mar,2019
PODA,4.3,mar,2019
GG SAUDE,2.792,mar,2019
REJEITO-CMT CMJ,978.0,mar,2019
RESIDUOS DE BOCA DE LOBO,1.093,mar,2019
PG SAUDE,757.0,mar,2019
REMOCAO RESIDUOS DESCARTADOS,0.0,mar,2019
PATIO COMPOSTAGEM,0.0,mar,2019
REJEITO,0.0,mar,2019
ENTULHO APREENDIDO,0.0,mar,2019
MADEIRA,0.0,mar,2019
ANIMAIS,6.0,mar,2019
VARRICAO MECANIZADA,19.0,mar,2019
ALIM VENCIDOS,0.0,mar,2019
MATERIAL APREENDIDO,0.0,mar,2019
RESIDUO DE ACUMULADOR,0.0,mar,2019
RESIDUO DE DESFAZIMENTO,0.0,mar,2019
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,5.0,mar,2019
DOMICILIAR,313.198,abr,2019
ENTULHO MECANIZADO,27.29,abr,2019
RESIDUOS DE ECOPONTO,40.459,abr,2019
DIVERSOS,18.609,abr,2019
ESGOTO,13.491,abr,2019
RESIDUOS DE PISCINAO,18.373,abr,2019
RESIDUOS DE CORREGOS,16.388,abr,2019
VARRICAO,7.762,abr,2019
SELETIVA,6.483,abr,2019
FEIRA LIVRE,4.693,abr,2019
ENTULHO MANUAL,3.943,abr,2019
PODA,3.973,abr,2019
GG SAUDE,2.886,abr,2019
REJEITO-CMT CMJ,1.022,abr,2019
RESIDUOS DE BOCA DE LOBO,1.218,abr,2019
PG SAUDE,780.0,abr,2019
REMOCAO RESIDUOS DESCARTADOS,0.0,abr,2019
PATIO COMPOSTAGEM,0.0,abr,2019
REJEITO,0.0,abr,2019
ENTULHO APREENDIDO,0.0,abr,2019
MADEIRA,0.0,abr,2019
ANIMAIS,2.0,abr,2019
VARRICAO MECANIZADA,0.0,abr,2019
ALIM VENCIDOS,1.0,abr,2019
MATERIAL APREENDIDO,0.0,abr,2019
RESIDUO DE ACUMULADOR,0.0,abr,2019
RESIDUO DE DESFAZIMENTO,0.0,abr,2019
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,abr,2019
DOMICILIAR,307.805,mai,2019
ENTULHO MECANIZADO,26.278,mai,2019
RESIDUOS DE ECOPONTO,40.148,mai,2019
DIVERSOS,18.258,mai,2019
ESGOTO,19.251,mai,2019
RESIDUOS DE PISCINAO,16.362,mai,2019
RESIDUOS DE CORREGOS,18.673,mai,2019
VARRICAO,6.688,mai,2019
SELETIVA,6.391,mai,2019
FEIRA LIVRE,5.348,mai,2019
ENTULHO MANUAL,3.787,mai,2019
PODA,4.391,mai,2019
GG SAUDE,2.973,mai,2019
REJEITO-CMT CMJ,1.081,mai,2019
RESIDUOS DE BOCA DE LOBO,947.0,mai,2019
PG SAUDE,838.0,mai,2019
REMOCAO RESIDUOS DESCARTADOS,0.0,mai,2019
PATIO COMPOSTAGEM,0.0,mai,2019
REJEITO,3.0,mai,2019
ENTULHO APREENDIDO,5.0,mai,2019
MADEIRA,0.0,mai,2019
ANIMAIS,1.0,mai,2019
VARRICAO MECANIZADA,74.1,mai,2019
ALIM VENCIDOS,0.0,mai,2019
MATERIAL APREENDIDO,0.0,mai,2019
RESIDUO DE ACUMULADOR,0.0,mai,2019
RESIDUO DE DESFAZIMENTO,0.0,mai,2019
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,mai,2019
DOMICILIAR,284.772,jun,2019
ENTULHO MECANIZADO,14.652,jun,2019
RESIDUOS DE ECOPONTO,28.873,jun,2019
DIVERSOS,22.252,jun,2019
ESGOTO,16.131,jun,2019
RESIDUOS DE PISCINAO,16.696,jun,2019
RESIDUOS DE CORREGOS,20.9,jun,2019
VARRICAO,6.517,jun,2019
SELETIVA,5.799,jun,2019
FEIRA LIVRE,4.415,jun,2019
ENTULHO MANUAL,2.831,jun,2019
PODA,3.812,jun,2019
GG SAUDE,2.758,jun,2019
REJEITO-CMT CMJ,865.0,jun,2019
RESIDUOS DE BOCA DE LOBO,1.181,jun,2019
PG SAUDE,705.0,jun,2019
REMOCAO RESIDUOS DESCARTADOS,0.0,jun,2019
PATIO COMPOSTAGEM,0.0,jun,2019
REJEITO,0.0,jun,2019
ENTULHO APREENDIDO,0.0,jun,2019
MADEIRA,0.0,jun,2019
ANIMAIS,2.0,jun,2019
VARRICAO MECANIZADA,180.0,jun,2019
ALIM VENCIDOS,0.0,jun,2019
MATERIAL APREENDIDO,0.0,jun,2019
RESIDUO DE ACUMULADOR,0.0,jun,2019
RESIDUO DE DESFAZIMENTO,0.0,jun,2019
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,jun,2019
DOMICILIAR,302.068,jul,2019
ENTULHO MECANIZADO,19.44,jul,2019
RESIDUOS DE ECOPONTO,36.623,jul,2019
DIVERSOS,19.119,jul,2019
ESGOTO,20.046,jul,2019
RESIDUOS DE PISCINAO,15.999,jul,2019
RESIDUOS DE CORREGOS,21.377,jul,2019
VARRICAO,7.616,jul,2019
SELETIVA,6.511,jul,2019
FEIRA LIVRE,6.01,jul,2019
ENTULHO MANUAL,3.261,jul,2019
PODA,3.749,jul,2019
GG SAUDE,2.861,jul,2019
REJEITO-CMT CMJ,1.056,jul,2019
RESIDUOS DE BOCA DE LOBO,2.514,jul,2019
PG SAUDE,811.0,jul,2019
REMOCAO RESIDUOS DESCARTADOS,0.0,jul,2019
PATIO COMPOSTAGEM,0.0,jul,2019
REJEITO,0.0,jul,2019
ENTULHO APREENDIDO,0.0,jul,2019
MADEIRA,52.0,jul,2019
ANIMAIS,2.0,jul,2019
VARRICAO MECANIZADA,0.0,jul,2019
ALIM VENCIDOS,0.0,jul,2019
MATERIAL APREENDIDO,0.0,jul,2019
RESIDUO DE ACUMULADOR,0.0,jul,2019
RESIDUO DE DESFAZIMENTO,0.0,jul,2019
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,jul,2019
DOMICILIAR,295.446,ago,2019
ENTULHO MECANIZADO,20.496,ago,2019
RESIDUOS DE ECOPONTO,38.352,ago,2019
DIVERSOS,19.711,ago,2019
ESGOTO,17.582,ago,2019
RESIDUOS DE PISCINAO,16.723,ago,2019
RESIDUOS DE CORREGOS,21.668,ago,2019
VARRICAO,8.714,ago,2019
SELETIVA,6.415,ago,2019
FEIRA LIVRE,5.281,ago,2019
ENTULHO MANUAL,3.546,ago,2019
PODA,3.872,ago,2019
GG SAUDE,2.861,ago,2019
REJEITO-CMT CMJ,1.06,ago,2019
RESIDUOS DE BOCA DE LOBO,2.906,ago,2019
PG SAUDE,831.0,ago,2019
REMOCAO RESIDUOS DESCARTADOS,0.0,ago,2019
PATIO COMPOSTAGEM,0.0,ago,2019
REJEITO,0.0,ago,2019
ENTULHO APREENDIDO,8.0,ago,2019
MADEIRA,2.85,ago,2019
ANIMAIS,2.0,ago,2019
VARRICAO MECANIZADA,0.0,ago,2019
ALIM VENCIDOS,0.0,ago,2019
MATERIAL APREENDIDO,0.0,ago,2019
RESIDUO DE ACUMULADOR,0.0,ago,2019
RESIDUO DE DESFAZIMENTO,0.0,ago,2019
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,ago,2019
DOMICILIAR,292.653,set,2019
ENTULHO MECANIZADO,16.979,set,2019
RESIDUOS DE ECOPONTO,36.974,set,2019
DIVERSOS,26.336,set,2019
ESGOTO,17.344,set,2019
RESIDUOS DE PISCINAO,14.182,set,2019
RESIDUOS DE CORREGOS,19.402,set,2019
VARRICAO,7.783,set,2019
SELETIVA,6.436,set,2019
FEIRA LIVRE,5.897,set,2019
ENTULHO MANUAL,2.886,set,2019
PODA,3.924,set,2019
GG SAUDE,2.751,set,2019
REJEITO-CMT CMJ,1.022,set,2019
RESIDUOS DE BOCA DE LOBO,1.982,set,2019
PG SAUDE,748.0,set,2019
REMOCAO RESIDUOS DESCARTADOS,0.0,set,2019
PATIO COMPOSTAGEM,0.0,set,2019
REJEITO,0.0,set,2019
ENTULHO APREENDIDO,0.0,set,2019
MADEIRA,2.007,set,2019
ANIMAIS,1.0,set,2019
VARRICAO MECANIZADA,15.0,set,2019
ALIM VENCIDOS,0.0,set,2019
MATERIAL APREENDIDO,0.0,set,2019
RESIDUO DE ACUMULADOR,67.0,set,2019
RESIDUO DE DESFAZIMENTO,53.0,set,2019
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,set,2019
DOMICILIAR,316.233,out,2019
ENTULHO MECANIZADO,15.918,out,2019
RESIDUOS DE ECOPONTO,42.03,out,2019
DIVERSOS,23.936,out,2019
ESGOTO,20.299,out,2019
RESIDUOS DE PISCINAO,16.41,out,2019
RESIDUOS DE CORREGOS,14.215,out,2019
VARRICAO,5.716,out,2019
SELETIVA,6.877,out,2019
FEIRA LIVRE,5.85,out,2019
ENTULHO MANUAL,2.656,out,2019
PODA,5.108,out,2019
GG SAUDE,2.907,out,2019
REJEITO-CMT CMJ,1.083,out,2019
RESIDUOS DE BOCA DE LOBO,1.695,out,2019
PG SAUDE,800.0,out,2019
REMOCAO RESIDUOS DESCARTADOS,0.0,out,2019
PATIO COMPOSTAGEM,165.0,out,2019
REJEITO,,out,2019
ENTULHO APREENDIDO,5.0,out,2019
MADEIRA,2.352,out,2019
ANIMAIS,0.0,out,2019
VARRICAO MECANIZADA,121.0,out,2019
ALIM VENCIDOS,0.0,out,2019
MATERIAL APREENDIDO,0.0,out,2019
RESIDUO DE ACUMULADOR,44.0,out,2019
RESIDUO DE DESFAZIMENTO,3.0,out,2019
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,13.0,out,2019
DOMICILIAR,302.574,nov,2019
ENTULHO MECANIZADO,11.188,nov,2019
RESIDUOS DE ECOPONTO,38.401,nov,2019
DIVERSOS,24.282,nov,2019
ESGOTO,16.931,nov,2019
RESIDUOS DE PISCINAO,16.483,nov,2019
RESIDUOS DE CORREGOS,24.054,nov,2019
VARRICAO,5.096,nov,2019
SELETIVA,6.791,nov,2019
FEIRA LIVRE,5.963,nov,2019
ENTULHO MANUAL,2.253,nov,2019
PODA,4.416,nov,2019
GG SAUDE,2.71,nov,2019
REJEITO-CMT CMJ,1.161,nov,2019
RESIDUOS DE BOCA DE LOBO,1.432,nov,2019
PG SAUDE,739.0,nov,2019
REMOCAO RESIDUOS DESCARTADOS,0.0,nov,2019
PATIO COMPOSTAGEM,0.0,nov,2019
REJEITO,0.0,nov,2019
ENTULHO APREENDIDO,0.0,nov,2019
MADEIRA,2.287,nov,2019
ANIMAIS,2.0,nov,2019
VARRICAO MECANIZADA,419.0,nov,2019
ALIM VENCIDOS,0.0,nov,2019
MATERIAL APREENDIDO,3.0,nov,2019
RESIDUO DE ACUMULADOR,35.0,nov,2019
RESIDUO DE DESFAZIMENTO,21.0,nov,2019
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,48.0,nov,2019
DOMICILIAR,332.356,dez,2019
ENTULHO MECANIZADO,11.945,dez,2019
RESIDUOS DE ECOPONTO,34.125,dez,2019
DIVERSOS,28.839,dez,2019
ESGOTO,15.946,dez,2019
RESIDUOS DE PISCINAO,13.552,dez,2019
RESIDUOS DE CORREGOS,36.291,dez,2019
VARRICAO,5.061,dez,2019
SELETIVA,8.062,dez,2019
FEIRA LIVRE,5.906,dez,2019
ENTULHO MANUAL,2.027,dez,2019
PODA,4.143,dez,2019
GG SAUDE,2.649,dez,2019
REJEITO-CMT CMJ,1.442,dez,2019
RESIDUOS DE BOCA DE LOBO,1.263,dez,2019
PG SAUDE,702.0,dez,2019
REMOCAO RESIDUOS DESCARTADOS,0.0,dez,2019
PATIO COMPOSTAGEM,0.0,dez,2019
REJEITO,0.0,dez,2019
ENTULHO APREENDIDO,0.0,dez,2019
MADEIRA,2.544,dez,2019
ANIMAIS,1.0,dez,2019
VARRICAO MECANIZADA,269.0,dez,2019
ALIM VENCIDOS,0.0,dez,2019
MATERIAL APREENDIDO,0.0,dez,2019
RESIDUO DE ACUMULADOR,41.0,dez,2019
RESIDUO DE DESFAZIMENTO,0.0,dez,2019
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,15.0,dez,2019
