TIPO DE RESIDUO,TONELADAS,MES,ANO
DOMICILIAR,326.387,jan,2019
ENTULHO MECANIZADO,24.343,jan,2019
RESIDUOS DE ECOPONTO,36.532,jan,2019
DIVERSOS,17.128,jan,2019
ESGOTO,7.217,jan,2019
RESIDUOS DE PISCINAO,15.317,jan,2019
RESIDUOS DE CORREGOS,6.97,jan,2019
VARRICAO,6.699,jan,2019
SELETIVA,7.441,jan,2019
FEIRA LIVRE,5.404,jan,2019
ENTULHO MANUAL,3.634,jan,2019
PODA,3.979,jan,2019
GG SAUDE,2.722,jan,2019
REJEITO-CMT CMJ,1.232,jan,2019
RESIDUOS DE BOCA DE LOBO,995.0,jan,2019
PG SAUDE,697.0,jan,2019
REMOCAO RESIDUOS DESCARTADOS,0.0,jan,2019
PATIO COMPOSTAGEM,0.0,jan,2019
REJEITO,0.0,jan,2019
ENTULHO APREENDIDO,0.0,jan,2019
MADEIRA,0.0,jan,2019
ANIMAIS,4.0,jan,2019
VARRICAO MECANIZADA,10.0,jan,2019
ALIM VENCIDOS,0.0,jan,2019
MATERIAL APREENDIDO,0.0,jan,2019
RESIDUO DE ACUMULADOR,0.0,jan,2019
RESIDUO DE DESFAZIMENTO,0.0,jan,2019
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA,0.0,jan,2019
DOMICILIAR,292.481,fev,2019
ENTULHO MECANIZADO,21.038,fev,2019
RESIDUOS DE ECOPONTO,36.992,fev,2019
DIVERSOS,17.363,fev,2019
ESGOTO,19.335,fev,2019
RESIDUOS DE PISCINAO,14.421,fev,2019
RESIDUOS DE CORREGOS,7.003,fev,2019
VARRICAO,6.26,fev,2019
SELETIVA,6.524,fev,2019
FEIRA LIVRE,5.01,fev,2019
ENTULHO MANUAL,3.358,fev,2019
PODA,4.103,fev,2019
GG SAUDE,2.648,fev,2019
REJEITO-CMT CMJ,982.0,fev,2019
RESIDUOS DE BOCA DE LOBO,581.0,fev,2019
PG SAUDE,719.0,fev,2019
REMOCAO RESIDUOS DESCARTADOS,0.0,fev,2019
PATIO COMPOSTAGEM,0.0,fev,2019
REJEITO,0.0,fev,2019
ENTULHO APREENDIDO,0.0,fev,2019
MADEIRA,0.0,fev,2019
ANIMAIS,3.0,fev,2019
VARRICAO MECANIZADA,28.0,fev,2019
ALIM VENCIDOS,0.0,fev,2019
MATERIAL APREENDIDO,0.0,fev,2019
RESIDUO DE ACUMULADOR,0.0,fev,2019
RESIDUO DE DESFAZIMENTO,0.0,fev,2019
