TIPO DE RESÖDUO;jan/13;fev/13;mar/13;abr/13;mai/13;jun/13;jul/13;ago/13;set/13;out/13;nov/13;dez/13;TOTAL 2013
DOMICILIAR;329811,17;306900,44;319322,64;323370,88;311543,84;297548,85;317327,32;315676,64;305483,65;331783,32;322859,19;349827,25;3831455,19
ENTULHO MECANIZADO;87669,43;73157,94;77888,83;84883,83;93405,81;95076,82;102690,35;98948,03;92558,41;97351,44;85582,34;73351,86;1062565,09
DIVERSOS;27656,96;28013,76;28353,69;28778,87;29615,12;27063,56;27802,94;25733,42;24146,55;27751,44;26319,56;28519,79;329755,66
RESIDUOS DE PISCINAO;17920,76;15869,30;18458,67;20398,73;18913,38;16442,84;14608,08;17018,06;15257,92;20863,04;18359,31;24928,02;219038,11
ESGOTO;14130,25;13338,40;10632,08;6214,34;17810,28;12003,38;17746,37;18051,28;16353,83;16735,91;14073,26;13542,23;170631,61
RESIDUOS DE CORREGOS;12697,76;14798,90;18422,85;20407,91;16106,17;14488,19;13049,72;16735,18;13314,99;14563,05;9372,17;7691,02;171647,91
VARRICAO;10590,98;11234,33;10345,45;9622,10;10180,58;9054,02;9568,64;10544,89;9932,61;10849,86;9652,42;9864,59;121440,47
ENTULHO MANUAL;5987,05;5339,82;5919,06;6390,62;5478,91;4884,59;5738,65;5608,89;5220,04;5523,19;4604,88;3712,97;64408,67
SELETIVA;5941,29;5171,07;5322,55;5587,56;5574,01;5307,84;5651,06;5641,33;5208,53;5706,66;5350,10;5977,39;66439,39
FEIRA LIVRE;5650,17;4834,80;7137,72;6605,88;6882,44;7170,05;6860,75;7579,34;7616,40;7430,67;7769,14;7842,02;83379,38
PODA;4727,77;4636,71;5068,49;4980,51;4265,78;3820,68;3696,01;3841,18;3620,58;4103,25;3726,80;4165,15;50652,91
GG SAUDE;2553,42;2387,88;2697,83;2846,67;2858,13;2698,04;2849,71;2872,90;2753,97;2885,95;2719,52;2611,19;32735,21
RESIDUOS DE BOCA DE LOBO;881,58;727,65;691,99;683,35;609,24;604,42;602,07;659,00;532,58;653,49;545,84;763,90;7955,11
PG SAUDE;463,81;460,15;524,00;566,82;550,64;522,22;512,53;566,38;535,58;600,19;522,25;491,55;6316,12
DIVERSOS-EMAE;328,48;0;0;0;0;0;0;0;0;0;0;0;328,48
ALIM VENCIDOS;11,92;0;2,73;0;0,03;0,22;0;0;0;0;0;0;14,90
ENTULHO APREENDIDO;10,87;15,92;31,89;8,64;9,34;0;37,71;23,29;9,38;8,05;7,23;0,00;162,32
ANIMAIS;6,15;6,78;6,05;6,59;8,28;8,06;9,16;5,16;7,79;13,14;9,99;7,45;94,60
VARRICAO MECANIZADA;4,54;6,66;7,05;0;0;0;0;0;0;0,08;0;0;18,33
(vazio);0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL;527044,36;486900,51;510833,57;521353,30;523811,98;496693,78;528713,36;529519,39;502566,72;546824,06;511474,82;533303,61;6219039,45
