TIPO DE RESIDUO,TONELADAS,MES,ANO
PG SAUDE,697.43,set,2018
PODA,2996.64,set,2018
REJEITO,0.0,set,2018
REJEITO-CMT CMJ,826.87,set,2018
RESIDUOS DE BOCA DE LOBO,577.81,set,2018
RESIDUOS DE CORREGOS,7224.38,set,2018
RESIDUOS DE ECOPONTO,35352.46,set,2018
RESIDUOS DE PISCINAO,12762.75,set,2018
SELETIVA,5844.25,set,2018
VARRICAO,6830.25,set,2018
VARRICAO MECANIZADA,19.16,set,2018
ALIM VENCIDOS,0.0,out,2018
ANIMAIS,4.33,out,2018
DIVERSOS,18713.37,out,2018
DOMICILIAR,327744.54,out,2018
ENTULHO APREENDIDO,2.99,out,2018
ENTULHO MANUAL,4287.23,out,2018
ENTULHO MECANIZADO,37632.21,out,2018
ESGOTO,17657.96,out,2018
FEIRA LIVRE,6398.65,out,2018
GG SAUDE,2928.47,out,2018
PG SAUDE,801.58,out,2018
PODA,3598.3,out,2018
REJEITO,0.0,out,2018
REJEITO-CMT CMJ,1040.02,out,2018
RESIDUOS DE BOCA DE LOBO,1133.66,out,2018
RESIDUOS DE CORREGOS,9107.37,out,2018
RESIDUOS DE ECOPONTO,37427.67,out,2018
RESIDUOS DE PISCINAO,13075.8,out,2018
SELETIVA,6673.95,out,2018
VARRICAO,6737.53,out,2018
VARRICAO MECANIZADA,0.0,out,2018
ALIM VENCIDOS,0.0,nov,2018
ANIMAIS,6.03,nov,2018
DIVERSOS,20262.06,nov,2018
DOMICILIAR,309063.1,nov,2018
ENTULHO APREENDIDO,8.52,nov,2018
ENTULHO MANUAL,3674.33,nov,2018
ENTULHO MECANIZADO,22428.83,nov,2018
ESGOTO,18260.2,nov,2018
FEIRA LIVRE,6225.89,nov,2018
GG SAUDE,2727.79,nov,2018
PG SAUDE,723.36,nov,2018
PODA,4092.61,nov,2018
REJEITO,0.0,nov,2018
REJEITO-CMT CMJ,955.24,nov,2018
RESIDUOS DE BOCA DE LOBO,883.76,nov,2018
RESIDUOS DE CORREGOS,8739.84,nov,2018
RESIDUOS DE ECOPONTO,36072.51,nov,2018
RESIDUOS DE PISCINAO,17827.14,nov,2018
SELETIVA,6301.43,nov,2018
VARRICAO,6258.33,nov,2018
VARRICAO MECANIZADA,3.28,nov,2018
ALIM VENCIDOS,0.0,dez,2018
ANIMAIS,2.44,dez,2018
DIVERSOS,17488.34,dez,2018
DOMICILIAR,334787.98,dez,2018
ENTULHO APREENDIDO,0.0,dez,2018
ENTULHO MANUAL,3588.97,dez,2018
ENTULHO MECANIZADO,23304.96,dez,2018
ESGOTO,19807.23,dez,2018
FEIRA LIVRE,5945.88,dez,2018
GG SAUDE,2650.39,dez,2018
PG SAUDE,711.01,dez,2018
PODA,4195.1,dez,2018
REJEITO,0.0,dez,2018
REJEITO-CMT CMJ,1103.64,dez,2018
RESIDUOS DE BOCA DE LOBO,935.94,dez,2018
RESIDUOS DE CORREGOS,7950.33,dez,2018
RESIDUOS DE ECOPONTO,35672.88,dez,2018
RESIDUOS DE PISCINAO,20267.52,dez,2018
SELETIVA,7370.23,dez,2018
VARRICAO,7304.16,dez,2018
VARRICAO MECANIZADA,105.79,dez,2018
