TIPO DE RESIDUO,TONELADAS,MES,ANO
ALIM VENCIDOS,0.0,jan,2018
ANIMAIS,2.08,jan,2018
DIVERSOS,18644.22,jan,2018
DOMICILIAR,364262.97,jan,2018
ENTULHO APREENDIDO,23.24,jan,2018
ENTULHO MANUAL,4851.41,jan,2018
ENTULHO MECANIZADO,41901.74,jan,2018
ESGOTO,19667.15,jan,2018
FEIRA LIVRE,6071.84,jan,2018
GG SAUDE,2722.67,jan,2018
PG SAUDE,642.52,jan,2018
PODA,3122.83,jan,2018
REJEITO,0.0,jan,2018
REJEITO-CMT CMJ,1235.86,jan,2018
RESIDUOS DE BOCA DE LOBO,706.86,jan,2018
RESIDUOS DE CORREGOS,9525.26,jan,2018
RESIDUOS DE ECOPONTO,30341.43,jan,2018
RESIDUOS DE PISCINAO,13139.55,jan,2018
SELETIVA,7735.87,jan,2018
VARRICAO,7058.05,jan,2018
VARRICAO MECANIZADA,5.28,jan,2018
ALIM VENCIDOS,0.0,fev,2018
ANIMAIS,1.8,fev,2018
DIVERSOS,18396.62,fev,2018
DOMICILIAR,290663.37,fev,2018
ENTULHO APREENDIDO,15.02,fev,2018
ENTULHO MANUAL,4490.55,fev,2018
ENTULHO MECANIZADO,39529.16,fev,2018
ESGOTO,18039.83,fev,2018
FEIRA LIVRE,5577.81,fev,2018
GG SAUDE,2540.75,fev,2018
PG SAUDE,616.52,fev,2018
PODA,2176.01,fev,2018
REJEITO,0.0,fev,2018
REJEITO-CMT CMJ,1025.96,fev,2018
RESIDUOS DE BOCA DE LOBO,756.81,fev,2018
RESIDUOS DE CORREGOS,6315.12,fev,2018
RESIDUOS DE ECOPONTO,31229.73,fev,2018
RESIDUOS DE PISCINAO,16060.13,fev,2018
SELETIVA,6281.7,fev,2018
VARRICAO,6837.29,fev,2018
VARRICAO MECANIZADA,1.12,fev,2018
ALIM VENCIDOS,0.0,mar,2018
ANIMAIS,2.35,mar,2018
DIVERSOS,20431.31,mar,2018
DOMICILIAR,328072.44,mar,2018
ENTULHO APREENDIDO,14.22,mar,2018
ENTULHO MANUAL,5098.62,mar,2018
ENTULHO MECANIZADO,42499.88,mar,2018
ESGOTO,18787.17,mar,2018
FEIRA LIVRE,6236.49,mar,2018
GG SAUDE,2956.08,mar,2018
PG SAUDE,730.04,mar,2018
PODA,2320.57,mar,2018
REJEITO,0.0,mar,2018
REJEITO-CMT CMJ,1025.12,mar,2018
RESIDUOS DE BOCA DE LOBO,743.83,mar,2018
RESIDUOS DE CORREGOS,7077.64,mar,2018
RESIDUOS DE ECOPONTO,35159.4,mar,2018
RESIDUOS DE PISCINAO,13445.39,mar,2018
SELETIVA,6891.0,mar,2018
VARRICAO,7414.03,mar,2018
VARRICAO MECANIZADA,0.0,mar,2018
ALIM VENCIDOS,0.0,abr,2018
ANIMAIS,2.96,abr,2018
DIVERSOS,21404.26,abr,2018
DOMICILIAR,300843.73,abr,2018
ENTULHO APREENDIDO,0.0,abr,2018
ENTULHO MANUAL,4639.78,abr,2018
ENTULHO MECANIZADO,41291.14,abr,2018
ESGOTO,15991.13,abr,2018
FEIRA LIVRE,5436.69,abr,2018
GG SAUDE,2869.01,abr,2018
PG SAUDE,710.65,abr,2018
PODA,2212.91,abr,2018
REJEITO,0.0,abr,2018
REJEITO-CMT CMJ,1069.42,abr,2018
RESIDUOS DE BOCA DE LOBO,720.08,abr,2018
RESIDUOS DE CORREGOS,6543.24,abr,2018
RESIDUOS DE ECOPONTO,32840.68,abr,2018
RESIDUOS DE PISCINAO,14625.67,abr,2018
SELETIVA,6485.27,abr,2018
VARRICAO,6562.55,abr,2018
VARRICAO MECANIZADA,7.65,abr,2018
ALIM VENCIDOS,0.0,mai,2018
ANIMAIS,6.15,mai,2018
DIVERSOS,15655.92,mai,2018
DOMICILIAR,302710.48,mai,2018
ENTULHO APREENDIDO,0.0,mai,2018
ENTULHO MANUAL,10407.79,mai,2018
ENTULHO MECANIZADO,38304.43,mai,2018
ESGOTO,16409.68,mai,2018
FEIRA LIVRE,4666.12,mai,2018
GG SAUDE,2911.62,mai,2018
PG SAUDE,717.14,mai,2018
PODA,2736.98,mai,2018
REJEITO,0.0,mai,2018
REJEITO-CMT CMJ,815.55,mai,2018
RESIDUOS DE BOCA DE LOBO,809.43,mai,2018
RESIDUOS DE CORREGOS,5709.84,mai,2018
RESIDUOS DE ECOPONTO,33690.45,mai,2018
RESIDUOS DE PISCINAO,14060.7,mai,2018
SELETIVA,4848.67,mai,2018
VARRICAO,6785.16,mai,2018
VARRICAO MECANIZADA,33.71,mai,2018
ALIM VENCIDOS,5.92,jun,2018
ANIMAIS,2.38,jun,2018
DIVERSOS,17537.15,jun,2018
DOMICILIAR,288833.64,jun,2018
ENTULHO APREENDIDO,6.71,jun,2018
ENTULHO MANUAL,4601.27,jun,2018
ENTULHO MECANIZADO,45147.82,jun,2018
ESGOTO,14546.36,jun,2018
FEIRA LIVRE,5437.57,jun,2018
GG SAUDE,2800.52,jun,2018
PG SAUDE,725.12,jun,2018
PODA,3345.13,jun,2018
REJEITO,0.0,jun,2018
REJEITO-CMT CMJ,918.96,jun,2018
RESIDUOS DE BOCA DE LOBO,471.09,jun,2018
RESIDUOS DE CORREGOS,7405.85,jun,2018
RESIDUOS DE ECOPONTO,30819.49,jun,2018
RESIDUOS DE PISCINAO,14869.85,jun,2018
SELETIVA,6183.86,jun,2018
VARRICAO,6467.5,jun,2018
VARRICAO MECANIZADA,149.8,jun,2018
ALIM VENCIDOS,0.0,jul,2018
ANIMAIS,3.98,jul,2018
DIVERSOS,17925.85,jul,2018
DOMICILIAR,294044.59,jul,2018
ENTULHO APREENDIDO,0.0,jul,2018
ENTULHO MANUAL,5175.38,jul,2018
ENTULHO MECANIZADO,41939.42,jul,2018
ESGOTO,16385.09,jul,2018
FEIRA LIVRE,5366.9,jul,2018
GG SAUDE,2805.82,jul,2018
PG SAUDE,693.63,jul,2018
PODA,3087.89,jul,2018
REJEITO,0.0,jul,2018
REJEITO-CMT CMJ,926.39,jul,2018
RESIDUOS DE BOCA DE LOBO,594.27,jul,2018
RESIDUOS DE CORREGOS,6870.84,jul,2018
RESIDUOS DE ECOPONTO,36618.21,jul,2018
RESIDUOS DE PISCINAO,13337.09,jul,2018
SELETIVA,6010.86,jul,2018
VARRICAO,6417.94,jul,2018
VARRICAO MECANIZADA,104.19,jul,2018
ALIM VENCIDOS,0.0,ago,2018
ANIMAIS,1.7,ago,2018
DIVERSOS,18715.0,ago,2018
DOMICILIAR,301608.39,ago,2018
ENTULHO APREENDIDO,0.0,ago,2018
ENTULHO MANUAL,5266.36,ago,2018
ENTULHO MECANIZADO,45051.74,ago,2018
ESGOTO,18508.85,ago,2018
FEIRA LIVRE,5680.9,ago,2018
GG SAUDE,2930.61,ago,2018
PG SAUDE,800.33,ago,2018
PODA,3790.35,ago,2018
REJEITO,0.0,ago,2018
REJEITO-CMT CMJ,899.52,ago,2018
RESIDUOS DE BOCA DE LOBO,595.25,ago,2018
RESIDUOS DE CORREGOS,6246.03,ago,2018
RESIDUOS DE ECOPONTO,38597.22,ago,2018
RESIDUOS DE PISCINAO,13647.67,ago,2018
SELETIVA,6279.49,ago,2018
VARRICAO,6825.77,ago,2018
VARRICAO MECANIZADA,17.61,ago,2018
ALIM VENCIDOS,0.0,set,2018
ANIMAIS,1.89,set,2018
DIVERSOS,17496.35,set,2018
DOMICILIAR,287203.53,set,2018
ENTULHO APREENDIDO,6.24,set,2018
ENTULHO MANUAL,4388.46,set,2018
ENTULHO MECANIZADO,36047.91,set,2018
ESGOTO,17831.45,set,2018
FEIRA LIVRE,6106.25,set,2018
GG SAUDE,2717.92,set,2018
